year,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec,Annual
1991,47.2,54.8,49.9,57.4,60.2,64.1,71.7,71.6,71.4,66,54.8,M,60.8
1992,45.8,53.5,55,62.1,65.6,65.7,73.2,74.5,69.3,63.3,53.1,45,60.5
1993,47.6,49.6,57.8,58.6,62.4,69.8,67.2,70.1,67.6,62.5,50.8,46.6,59.2
1994,48,48.3,55,57.6,61.9,69.5,69.3,73.1,67.2,59.5,46.2,45.6,58.4
1995,49.8,54.1,53.7,55.8,59.7,65.9,71.2,72.2,69.6,62.4,57.2,50.5,60.2
1996,49.2,53.3,55.1,59.1,63.1,67.7,73.9,72.9,65,60.1,53.2,49,60.1
1997,50,50.1,55.3,57.9,68.6,66.7,68.7,71.6,69.9,59.7,55,45.3,59.9
1998,50,50.1,53.2,53.6,56.5,63.1,72.6,74.5,68,57.8,50.6,43,57.8
1999,47.8,48.4,49.9,52.5,59.7,64.9,69.1,69.9,66.5,62.7,53.4,45.8,57.6
2000,48.4,50.4,52.4,58.7,65.5,68.8,68.8,71.5,67.1,58.5,47.5,49,58.9
2001,44.8,46.2,54.7,53.6,67.7,69.9,69.8,71.7,67.5,63,54.9,46.1,59.2
2002,44,49.3,50.2,56.1,59.9,68.1,71.5,69.6,70.5,58.1,53.9,47.7,58.2
2003,51.2,48.8,53.6,52.2,62.7,68.2,M,72.5,70.4,65.4,49.1,47.3,58.3
2004,46.5,47.7,59.5,58.1,62.5,68.5,70.4,M,67.8,59.9,48.8,46,57.8
2005,48,51.2,54.5,54.4,62.6,64.1,75,72.5,65.1,60.2,M,49.2,59.7
2006,47.2,50.4,47,54.4,65,72.8,78.3,68.3,67.5,58.3,53.4,46,59.1
2007,43,49.9,56.8,58.5,63.7,69.4,73.9,73.8,67.2,59.9,55,44,59.6
2008,45.5,49.2,53.7,56.5,62.4,70.4,74.3,73.9,70,63.2,55.7,45.7,60
2009,48.4,49.2,53.1,55.8,66.4,65.4,73.9,72,73.3,60.5,51.6,45.9,59.6
2010,49.8,50.3,52.3,53.9,59.1,68.5,69.3,68.9,69.3,62.8,51.5,49.7,58.8
2011,48.7,47.1,51.9,56.9,59,65.3,71,71.1,70.9,62.5,51.3,44.7,58.4
2012,47.4,50.1,51.4,57.7,64.1,67.6,70,76,71.5,63.8,53.8,47.8,60.1
2013,45,47.8,56.9,61.3,65.5,70.6,73.7,72.7,70.5,60.6,53.7,45,60.3
2014,51.7,52.9,57.4,59.5,66.6,69.4,73.7,71.7,71.7,66,55.9,51.2,62.3
2015,49.5,54.8,59.4,58.6,60,71.6,72.1,73.5,71.9,67.7,50.7,44.3,61.2
2016,50.3,53.5,55.9,60,62.3,73.4,73,70.9,69,61.9,55.9,46.9,61.1
2017,47.5,51.7,56,58.7,64.4,72.5,76.3,75.4,71,63.2,56.4,47.8,61.7
2018,52.3,50.3,52.5,59.3,61.8,68.5,76.3,73.4,70,62.9,55.4,48.5,60.9
2019,50,45.9,52.8,60.8,60,69.1,72.7,73.9,71.2,60.9,54.4,49,60.1
2020,48.3,51.7,51,58.3,65.3,68.7,70.4,76.5,73,67.7,52.2,48,60.9
2021,48.9,51.1,50.5,57.8,63.7,69.7,73.6,72.4,70.2,60.3,56.4,46.7,60.1
2022,48.3,48.7,55,58.4,64.4,73.4,73.5,75.4,73.9,64.3,48.8,47.2,60.9
2023,48,46.1,49.8,58.1,61.4,63.2,76,73.1,67,63.5,54.1,51.7,59.3
2024,49.8,51.4,53.1,56.6,61.6,70.4,77.9,74.9,71,66.8,50.4,51.4,61.3
2025,47.2,52,52.3,57.5,M,M,M,M,M,M,M,M,52.3
